iter	Passed	Remaining
0	0	79
1	1	73
2	2	79
3	3	72
4	3	69
5	4	66
6	4	65
7	5	64
8	6	63
9	6	62
10	7	61
11	8	61
12	8	60
13	9	59
14	10	58
15	11	58
16	11	57
17	12	56
18	13	56
19	13	55
20	14	55
21	15	54
22	16	54
23	17	54
24	17	53
25	18	52
26	19	52
27	19	51
28	20	50
29	21	50
30	22	49
31	22	48
32	23	47
33	24	47
34	25	46
35	25	45
36	26	44
37	27	44
38	27	43
39	28	43
40	29	42
41	29	41
42	30	40
43	31	40
44	32	39
45	33	39
46	34	38
47	34	37
48	35	36
49	36	36
50	36	35
51	37	34
52	38	33
53	38	33
54	39	32
55	40	31
56	40	30
57	41	30
58	42	29
59	43	28
60	43	27
61	44	27
62	45	26
63	46	25
64	46	25
65	47	24
66	48	23
67	49	23
68	49	22
69	50	21
70	51	20
71	51	20
72	52	19
73	53	18
74	54	18
75	54	17
76	55	16
77	56	15
78	56	15
79	57	14
80	58	13
81	59	12
82	59	12
83	60	11
84	61	10
85	62	10
86	63	9
87	63	8
88	64	7
89	65	7
90	65	6
91	66	5
92	67	5
93	67	4
94	68	3
95	69	2
96	70	2
97	70	1
98	71	0
99	72	0
